*******************************************************************************
 2014-Oct-05 00:00     2.8144695910E+08   4.127079   5.349264
 2014-Oct-06 00:00     2.8152011722E+08   4.223176   5.042279
 2014-Oct-07 00:00     2.8158962321E+08   4.319135   4.735432
 2014-Oct-08 00:00     2.8165547677E+08   4.414965   4.428716
 2014-Oct-09 00:00     2.8171767758E+08   4.510673   4.122125
 2014-Oct-10 00:00     2.8177622536E+08   4.606268   3.815651
 2014-Oct-11 00:00     2.8183111987E+08   4.701757   3.509286
 2014-Oct-12 00:00     2.8188236085E+08   4.797150   3.203024
 2014-Oct-13 00:00     2.8192994810E+08   4.892454   2.896857
 2014-Oct-14 00:00     2.8197388141E+08   4.987677   2.590779
 2014-Oct-15 00:00     2.8201416061E+08   5.082827   2.284782
 2014-Oct-16 00:00     2.8205078554E+08   5.177912   1.978859
 2014-Oct-17 00:00     2.8208375605E+08   5.272940   1.673003
 2014-Oct-18 00:00     2.8211307204E+08   5.367919   1.367207
 2014-Oct-19 00:00     2.8213873340E+08   5.462857   1.061463
 2014-Oct-20 00:00     2.8216074006E+08   5.557761   0.755766
 2014-Oct-21 00:00     2.8217909195E+08   5.652640   0.450107
 2014-Oct-22 00:00     2.8219378902E+08   5.747502   0.144480
 2014-Oct-23 00:00     2.8220483127E+08   5.842353  -0.161123
 2014-Oct-24 00:00     2.8221221868E+08   5.937203  -0.466708
 2014-Oct-25 00:00     2.8221595127E+08   6.032059  -0.772283
 2014-Oct-26 00:00     2.8221602908E+08   6.126929  -1.077855
 2014-Oct-27 00:00     2.8221245215E+08   6.221821  -1.383430
 2014-Oct-28 00:00     2.8220522057E+08   6.316742  -1.689017
 2014-Oct-29 00:00     2.8219433441E+08   6.411700  -1.994621
 2014-Oct-30 00:00     2.8217979379E+08   6.506704  -2.300250
 2014-Oct-31 00:00     2.8216159884E+08   6.601762  -2.605912
 2014-Nov-01 00:00     2.8213974971E+08   6.696880  -2.911613
 2014-Nov-02 00:00     2.8211424656E+08   6.792068  -3.217359
 2014-Nov-03 00:00     2.8208508959E+08   6.887332  -3.523160
