*******************************************************************************
 2014-Nov-08 00:00     1.6877174310E+08 157.907593 -17.615176
 2014-Nov-09 00:00     1.6836906536E+08 158.607009 -17.253046
 2014-Nov-10 00:00     1.6796112633E+08 159.307015 -16.886766
 2014-Nov-11 00:00     1.6754797253E+08 160.007694 -16.516332
 2014-Nov-12 00:00     1.6712965196E+08 160.709132 -16.141736
 2014-Nov-13 00:00     1.6670621414E+08 161.411418 -15.762973
 2014-Nov-14 00:00     1.6627771019E+08 162.114640 -15.380037
 2014-Nov-15 00:00     1.6584419281E+08 162.818893 -14.992920
 2014-Nov-16 00:00     1.6540571638E+08 163.524269 -14.601618
 2014-Nov-17 00:00     1.6496233699E+08 164.230867 -14.206123
 2014-Nov-18 00:00     1.6451411247E+08 164.938785 -13.806430
 2014-Nov-19 00:00     1.6406110247E+08 165.648126 -13.402533
 2014-Nov-20 00:00     1.6360336849E+08 166.358993 -12.994426
 2014-Nov-21 00:00     1.6314097394E+08 167.071494 -12.582105
 2014-Nov-22 00:00     1.6267398419E+08 167.785738 -12.165563
 2014-Nov-23 00:00     1.6220246663E+08 168.501837 -11.744798
 2014-Nov-24 00:00     1.6172649072E+08 169.219906 -11.319803
 2014-Nov-25 00:00     1.6124612804E+08 169.940064 -10.890577
 2014-Nov-26 00:00     1.6076145236E+08 170.662431 -10.457116
 2014-Nov-27 00:00     1.6027253970E+08 171.387131 -10.019418
 2014-Nov-28 00:00     1.5977946838E+08 172.114293  -9.577482
 2014-Nov-29 00:00     1.5928231908E+08 172.844045  -9.131307
 2014-Nov-30 00:00     1.5878117492E+08 173.576522  -8.680893
 2014-Dec-01 00:00     1.5827612151E+08 174.311862  -8.226244
 2014-Dec-02 00:00     1.5776724700E+08 175.050205  -7.767360
 2014-Dec-03 00:00     1.5725464218E+08 175.791696  -7.304248
 2014-Dec-04 00:00     1.5673840052E+08 176.536484  -6.836911
 2014-Dec-05 00:00     1.5621861823E+08 177.284720  -6.365358
 2014-Dec-06 00:00     1.5569539437E+08 178.036562  -5.889598
 2014-Dec-07 00:00     1.5516883086E+08 178.792169  -5.409641
 2014-Dec-08 00:00     1.5463903261E+08 179.551708  -4.925500
 2014-Dec-09 00:00     1.5410610752E+08 180.315347  -4.437191
 2014-Dec-10 00:00     1.5357016664E+08 181.083260  -3.944730
 2014-Dec-11 00:00     1.5303132415E+08 181.855627  -3.448139
 2014-Dec-12 00:00     1.5248969750E+08 182.632631  -2.947439
 2014-Dec-13 00:00     1.5194540749E+08 183.414460  -2.442657
 2014-Dec-14 00:00     1.5139857832E+08 184.201308  -1.933821
 2014-Dec-15 00:00     1.5084933771E+08 184.993375  -1.420963
 2014-Dec-16 00:00     1.5029781700E+08 185.790865  -0.904121
 2014-Dec-17 00:00     1.4974415123E+08 186.593988  -0.383332
 2014-Dec-18 00:00     1.4918847929E+08 187.402961   0.141359
 2014-Dec-19 00:00     1.4863094398E+08 188.218005   0.669904
