*******************************************************************************
 2014-Aug-28 00:00     2.4646511194E+08 102.986531 -72.817226
 2014-Aug-29 00:00     2.4567841356E+08 104.384294 -72.742196
 2014-Aug-30 00:00     2.4488857633E+08 105.778441 -72.657014
 2014-Aug-31 00:00     2.4409562299E+08 107.167531 -72.561629
 2014-Sep-01 00:00     2.4329957701E+08 108.550156 -72.456003
 2014-Sep-02 00:00     2.4250046260E+08 109.924951 -72.340114
 2014-Sep-03 00:00     2.4169830477E+08 111.290602 -72.213952
 2014-Sep-04 00:00     2.4089312931E+08 112.645856 -72.077518
 2014-Sep-05 00:00     2.4008496285E+08 113.989521 -71.930830
 2014-Sep-06 00:00     2.3927383283E+08 115.320476 -71.773912
 2014-Sep-07 00:00     2.3845976760E+08 116.637675 -71.606802
 2014-Sep-08 00:00     2.3764279638E+08 117.940150 -71.429548
 2014-Sep-09 00:00     2.3682294931E+08 119.227010 -71.242206
 2014-Sep-10 00:00     2.3600025748E+08 120.497448 -71.044841
 2014-Sep-11 00:00     2.3517475295E+08 121.750740 -70.837524
 2014-Sep-12 00:00     2.3434646877E+08 122.986240 -70.620335
 2014-Sep-13 00:00     2.3351543904E+08 124.203388 -70.393358
 2014-Sep-14 00:00     2.3268169890E+08 125.401699 -70.156681
 2014-Sep-15 00:00     2.3184528456E+08 126.580767 -69.910397
 2014-Sep-16 00:00     2.3100623338E+08 127.740259 -69.654603
 2014-Sep-17 00:00     2.3016458384E+08 128.879914 -69.389395
 2014-Sep-18 00:00     2.2932037561E+08 129.999538 -69.114873
 2014-Sep-19 00:00     2.2847364958E+08 131.098999 -68.831138
 2014-Sep-20 00:00     2.2762444789E+08 132.178227 -68.538291
 2014-Sep-21 00:00     2.2677281393E+08 133.237205 -68.236431
 2014-Sep-22 00:00     2.2591879244E+08 134.275970 -67.925657
 2014-Sep-23 00:00     2.2506242950E+08 135.294603 -67.606067
 2014-Sep-24 00:00     2.2420377259E+08 136.293231 -67.277757
 2014-Sep-25 00:00     2.2334287061E+08 137.272016 -66.940819
 2014-Sep-26 00:00     2.2247977393E+08 138.231158 -66.595346
 2014-Sep-27 00:00     2.2161453445E+08 139.170889 -66.241423
 2014-Sep-28 00:00     2.2074720559E+08 140.091465 -65.879137
 2014-Sep-29 00:00     2.1987784238E+08 140.993169 -65.508566
 2014-Sep-30 00:00     2.1900650149E+08 141.876304 -65.129790
 2014-Oct-01 00:00     2.1813324126E+08 142.741192 -64.742880
 2014-Oct-02 00:00     2.1725812178E+08 143.588171 -64.347907
 2014-Oct-03 00:00     2.1638120489E+08 144.417588 -63.944936
 2014-Oct-04 00:00     2.1550255426E+08 145.229804 -63.534027
 2014-Oct-05 00:00     2.1462223545E+08 146.025188 -63.115239
 2014-Oct-06 00:00     2.1374031590E+08 146.804114 -62.688622
 2014-Oct-07 00:00     2.1285686505E+08 147.566960 -62.254227
 2014-Oct-08 00:00     2.1197195437E+08 148.314108 -61.812098
 2014-Oct-09 00:00     2.1108565738E+08 149.045941 -61.362273
 2014-Oct-10 00:00     2.1019804977E+08 149.762842 -60.904790
 2014-Oct-11 00:00     2.0930920937E+08 150.465194 -60.439680
 2014-Oct-12 00:00     2.0841921629E+08 151.153376 -59.966970
 2014-Oct-13 00:00     2.0752815292E+08 151.827766 -59.486685
 2014-Oct-14 00:00     2.0663610403E+08 152.488737 -58.998844
 2014-Oct-15 00:00     2.0574315678E+08 153.136657 -58.503463
 2014-Oct-16 00:00     2.0484940084E+08 153.771891 -58.000554
 2014-Oct-17 00:00     2.0395492841E+08 154.394798 -57.490126
 2014-Oct-18 00:00     2.0305983429E+08 155.005730 -56.972183
