*******************************************************************************
 2014-Oct-20 00:00     1.7283612881E+08 140.141977 -39.015990
 2014-Oct-21 00:00     1.7357528859E+08 140.798626 -38.579606
 2014-Oct-22 00:00     1.7430520149E+08 141.441858 -38.143338
 2014-Oct-23 00:00     1.7502584630E+08 142.072158 -37.707279
 2014-Oct-24 00:00     1.7573720351E+08 142.689993 -37.271514
 2014-Oct-25 00:00     1.7643925525E+08 143.295809 -36.836121
 2014-Oct-26 00:00     1.7713198518E+08 143.890037 -36.401169
 2014-Oct-27 00:00     1.7781537842E+08 144.473089 -35.966722
 2014-Oct-28 00:00     1.7848942146E+08 145.045361 -35.532838
 2014-Oct-29 00:00     1.7915410206E+08 145.607234 -35.099567
 2014-Oct-30 00:00     1.7980940922E+08 146.159074 -34.666957
 2014-Oct-31 00:00     1.8045533305E+08 146.701232 -34.235047
 2014-Nov-01 00:00     1.8109186476E+08 147.234045 -33.803875
 2014-Nov-02 00:00     1.8171899655E+08 147.757837 -33.373473
 2014-Nov-03 00:00     1.8233672157E+08 148.272921 -32.943869
 2014-Nov-04 00:00     1.8294503387E+08 148.779595 -32.515087
 2014-Nov-05 00:00     1.8354392832E+08 149.278147 -32.087149
 2014-Nov-06 00:00     1.8413340057E+08 149.768856 -31.660073
 2014-Nov-07 00:00     1.8471344701E+08 150.251986 -31.233873
 2014-Nov-08 00:00     1.8528406473E+08 150.727795 -30.808561
 2014-Nov-09 00:00     1.8584525141E+08 151.196529 -30.384147
 2014-Nov-10 00:00     1.8639700538E+08 151.658427 -29.960639
 2014-Nov-11 00:00     1.8693932548E+08 152.113716 -29.538040
 2014-Nov-12 00:00     1.8747221110E+08 152.562618 -29.116353
 2014-Nov-13 00:00     1.8799566208E+08 153.005345 -28.695581
 2014-Nov-14 00:00     1.8850967874E+08 153.442101 -28.275721
 2014-Nov-15 00:00     1.8901426177E+08 153.873085 -27.856771
 2014-Nov-16 00:00     1.8950941227E+08 154.298487 -27.438727
 2014-Nov-17 00:00     1.8999513167E+08 154.718490 -27.021583
 2014-Nov-18 00:00     1.9047142173E+08 155.133272 -26.605333
 2014-Nov-19 00:00     1.9093828451E+08 155.543005 -26.189968
 2014-Nov-20 00:00     1.9139572232E+08 155.947854 -25.775479
 2014-Nov-21 00:00     1.9184373773E+08 156.347980 -25.361855
 2014-Nov-22 00:00     1.9228233350E+08 156.743536 -24.949087
 2014-Nov-23 00:00     1.9271151263E+08 157.134673 -24.537160
 2014-Nov-24 00:00     1.9313127827E+08 157.521535 -24.126062
 2014-Nov-25 00:00     1.9354163372E+08 157.904263 -23.715778
 2014-Nov-26 00:00     1.9394258242E+08 158.282991 -23.306296
 2014-Nov-27 00:00     1.9433412795E+08 158.657853 -22.897597
 2014-Nov-28 00:00     1.9471627397E+08 159.028974 -22.489668
 2014-Nov-29 00:00     1.9508902422E+08 159.396479 -22.082491
 2014-Nov-30 00:00     1.9545238253E+08 159.760488 -21.676049
 2014-Dec-01 00:00     1.9580635276E+08 160.121116 -21.270324
 2014-Dec-02 00:00     1.9615093884E+08 160.478476 -20.865298
 2014-Dec-03 00:00     1.9648614469E+08 160.832679 -20.460953
 2014-Dec-04 00:00     1.9681197428E+08 161.183831 -20.057269
 2014-Dec-05 00:00     1.9712843155E+08 161.532035 -19.654227
 2014-Dec-06 00:00     1.9743552045E+08 161.877393 -19.251808
 2014-Dec-07 00:00     1.9773324491E+08 162.220001 -18.849990
 2014-Dec-08 00:00     1.9802160882E+08 162.559957 -18.448754
 2014-Dec-09 00:00     1.9830061604E+08 162.897352 -18.048078
 2014-Dec-10 00:00     1.9857027036E+08 163.232278 -17.647943
 2014-Dec-11 00:00     1.9883057553E+08 163.564823 -17.248326
 2014-Dec-12 00:00     1.9908153523E+08 163.895073 -16.849206
 2014-Dec-13 00:00     1.9932315306E+08 164.223113 -16.450561
 2014-Dec-14 00:00     1.9955543253E+08 164.549025 -16.052370
 2014-Dec-15 00:00     1.9977837709E+08 164.872888 -15.654609
 2014-Dec-16 00:00     1.9999199006E+08 165.194783 -15.257257
 2014-Dec-17 00:00     2.0019627467E+08 165.514785 -14.860292
 2014-Dec-18 00:00     2.0039123405E+08 165.832971 -14.463689
 2014-Dec-19 00:00     2.0057687121E+08 166.149413 -14.067428
 2014-Dec-20 00:00     2.0075318902E+08 166.464185 -13.671484
