*******************************************************************************
 2014-Dec-04 00:00     1.0861859178E+08   9.789519  -7.619428
 2014-Dec-05 00:00     1.0640860703E+08  10.818584  -9.001052
 2014-Dec-06 00:00     1.0421028763E+08  11.899660 -10.438188
 2014-Dec-07 00:00     1.0202631346E+08  13.037955 -11.933291
 2014-Dec-08 00:00     9.9859659472E+07  14.239405 -13.488762
 2014-Dec-09 00:00     9.7713629990E+07  15.510796 -15.106883
 2014-Dec-10 00:00     9.5591890700E+07  16.859922 -16.789737
 2014-Dec-11 00:00     9.3498500474E+07  18.295758 -18.539103
 2014-Dec-12 00:00     9.1437943178E+07  19.828684 -20.356313
 2014-Dec-13 00:00     8.9415158661E+07  21.470739 -22.242085
 2014-Dec-14 00:00     8.7435571475E+07  23.235929 -24.196289
 2014-Dec-15 00:00     8.5505115365E+07  25.140587 -26.217666
 2014-Dec-16 00:00     8.3630251049E+07  27.203790 -28.303474
 2014-Dec-17 00:00     8.1817974196E+07  29.447832 -30.449045
 2014-Dec-18 00:00     8.0075809909E+07  31.898729 -32.647246
 2014-Dec-19 00:00     7.8411789476E+07  34.586728 -34.887820
 2014-Dec-20 00:00     7.6834404781E+07  37.546729 -37.156616
 2014-Dec-21 00:00     7.5352535666E+07  40.818477 -39.434693
 2014-Dec-22 00:00     7.3975345948E+07  44.446262 -41.697340
 2014-Dec-23 00:00     7.2712144888E+07  48.477719 -43.913073
 2014-Dec-24 00:00     7.1572212774E+07  52.961149 -46.042774
 2014-Dec-25 00:00     7.0564592150E+07  57.940673 -48.039280
