*******************************************************************************
 2014-Oct-11 00:00     3.8713959229E+08 195.860662  32.544830
 2014-Oct-12 00:00     3.8646598610E+08 195.956356  32.703673
 2014-Oct-13 00:00     3.8578951192E+08 196.052728  32.862998
 2014-Oct-14 00:00     3.8511016629E+08 196.149788  33.022809
 2014-Oct-15 00:00     3.8442794572E+08 196.247546  33.183110
 2014-Oct-16 00:00     3.8374284674E+08 196.346012  33.343905
 2014-Oct-17 00:00     3.8305486587E+08 196.445197  33.505197
 2014-Oct-18 00:00     3.8236399963E+08 196.545113  33.666991
 2014-Oct-19 00:00     3.8167024457E+08 196.645769  33.829290
 2014-Oct-20 00:00     3.8097359722E+08 196.747177  33.992099
 2014-Oct-21 00:00     3.8027405412E+08 196.849348  34.155421
 2014-Oct-22 00:00     3.7957161183E+08 196.952296  34.319260
 2014-Oct-23 00:00     3.7886626690E+08 197.056030  34.483621
 2014-Oct-24 00:00     3.7815801589E+08 197.160563  34.648507
 2014-Oct-25 00:00     3.7744685538E+08 197.265909  34.813923
 2014-Oct-26 00:00     3.7673278194E+08 197.372079  34.979872
 2014-Oct-27 00:00     3.7601579218E+08 197.479086  35.146360
 2014-Oct-28 00:00     3.7529588268E+08 197.586944  35.313389
 2014-Oct-29 00:00     3.7457305007E+08 197.695667  35.480964
 2014-Oct-30 00:00     3.7384729097E+08 197.805267  35.649090
 2014-Oct-31 00:00     3.7311860202E+08 197.915758  35.817771
 2014-Nov-01 00:00     3.7238697986E+08 198.027157  35.987010
 2014-Nov-02 00:00     3.7165242117E+08 198.139476  36.156812
 2014-Nov-03 00:00     3.7091492263E+08 198.252731  36.327182
 2014-Nov-04 00:00     3.7017448095E+08 198.366937  36.498124
 2014-Nov-05 00:00     3.6943109283E+08 198.482109  36.669641
 2014-Nov-06 00:00     3.6868475501E+08 198.598265  36.841739
 2014-Nov-07 00:00     3.6793546426E+08 198.715419  37.014422
 2014-Nov-08 00:00     3.6718321734E+08 198.833589  37.187695
 2014-Nov-09 00:00     3.6642801106E+08 198.952791  37.361561
 2014-Nov-10 00:00     3.6566984225E+08 199.073043  37.536025
 2014-Nov-11 00:00     3.6490870774E+08 199.194363  37.711091
 2014-Nov-12 00:00     3.6414460441E+08 199.316769  37.886765
 2014-Nov-13 00:00     3.6337752916E+08 199.440280  38.063050
 2014-Nov-14 00:00     3.6260747892E+08 199.564914  38.239952
 2014-Nov-15 00:00     3.6183445065E+08 199.690690  38.417474
 2014-Nov-16 00:00     3.6105844133E+08 199.817630  38.595621
 2014-Nov-17 00:00     3.6027944798E+08 199.945752  38.774397
 2014-Nov-18 00:00     3.5949746766E+08 200.075078  38.953808
 2014-Nov-19 00:00     3.5871249746E+08 200.205630  39.133858
 2014-Nov-20 00:00     3.5792453449E+08 200.337428  39.314551
 2014-Nov-21 00:00     3.5713357594E+08 200.470495  39.495892
 2014-Nov-22 00:00     3.5633961899E+08 200.604854  39.677885
 2014-Nov-23 00:00     3.5554266090E+08 200.740529  39.860536
 2014-Nov-24 00:00     3.5474269894E+08 200.877542  40.043848
 2014-Nov-25 00:00     3.5393973047E+08 201.015920  40.227826
 2014-Nov-26 00:00     3.5313375284E+08 201.155685  40.412475
 2014-Nov-27 00:00     3.5232476350E+08 201.296866  40.597800
 2014-Nov-28 00:00     3.5151275991E+08 201.439486  40.783804
 2014-Nov-29 00:00     3.5069773962E+08 201.583575  40.970493
 2014-Nov-30 00:00     3.4987970020E+08 201.729158  41.157871
 2014-Dec-01 00:00     3.4905863929E+08 201.876265  41.345943
 2014-Dec-02 00:00     3.4823455461E+08 202.024924  41.534713
 2014-Dec-03 00:00     3.4740744389E+08 202.175166  41.724185
 2014-Dec-04 00:00     3.4657730498E+08 202.327020  41.914365
 2014-Dec-05 00:00     3.4574413575E+08 202.480517  42.105256
 2014-Dec-06 00:00     3.4490793417E+08 202.635691  42.296863
 2014-Dec-07 00:00     3.4406869825E+08 202.792573  42.489191
 2014-Dec-08 00:00     3.4322642610E+08 202.951198  42.682243
 2014-Dec-09 00:00     3.4238111590E+08 203.111599  42.876024
 2014-Dec-10 00:00     3.4153276588E+08 203.273813  43.070538
 2014-Dec-11 00:00     3.4068137440E+08 203.437875  43.265790
 2014-Dec-12 00:00     3.3982693985E+08 203.603824  43.461784
 2014-Dec-13 00:00     3.3896946074E+08 203.771697  43.658523
 2014-Dec-14 00:00     3.3810893566E+08 203.941535  43.856012
 2014-Dec-15 00:00     3.3724536330E+08 204.113376  44.054255
 2014-Dec-16 00:00     3.3637874243E+08 204.287263  44.253256
 2014-Dec-17 00:00     3.3550907193E+08 204.463239  44.453018
 2014-Dec-18 00:00     3.3463635078E+08 204.641347  44.653546
 2014-Dec-19 00:00     3.3376057806E+08 204.821632  44.854842
 2014-Dec-20 00:00     3.3288175297E+08 205.004141  45.056911
 2014-Dec-21 00:00     3.3199987481E+08 205.188920  45.259755
