*******************************************************************************
 2014-Nov-08 00:00     1.5970721479E+08 185.190989  -0.117740
 2014-Nov-09 00:00     1.5932863954E+08 185.641549   0.613793
 2014-Nov-10 00:00     1.5894711659E+08 186.094372   1.348756
 2014-Nov-11 00:00     1.5856271851E+08 186.549643   2.087154
 2014-Nov-12 00:00     1.5817551956E+08 187.007551   2.828991
 2014-Nov-13 00:00     1.5778559577E+08 187.468288   3.574269
 2014-Nov-14 00:00     1.5739302494E+08 187.932056   4.322989
 2014-Nov-15 00:00     1.5699788667E+08 188.399059   5.075150
 2014-Nov-16 00:00     1.5660026239E+08 188.869509   5.830749
 2014-Nov-17 00:00     1.5620023542E+08 189.343623   6.589781
 2014-Nov-18 00:00     1.5579789095E+08 189.821628   7.352239
 2014-Nov-19 00:00     1.5539331611E+08 190.303755   8.118113
 2014-Nov-20 00:00     1.5498659996E+08 190.790246   8.887391
 2014-Nov-21 00:00     1.5457783355E+08 191.281350   9.660058
 2014-Nov-22 00:00     1.5416710995E+08 191.777326  10.436095
 2014-Nov-23 00:00     1.5375452424E+08 192.278440  11.215481
 2014-Nov-24 00:00     1.5334017356E+08 192.784971  11.998191
 2014-Nov-25 00:00     1.5292415717E+08 193.297209  12.784196
 2014-Nov-26 00:00     1.5250657640E+08 193.815453  13.573463
 2014-Nov-27 00:00     1.5208753473E+08 194.340016  14.365954
 2014-Nov-28 00:00     1.5166713780E+08 194.871224  15.161628
 2014-Nov-29 00:00     1.5124549342E+08 195.409416  15.960437
 2014-Nov-30 00:00     1.5082271161E+08 195.954946  16.762327
 2014-Dec-01 00:00     1.5039890460E+08 196.508183  17.567241
 2014-Dec-02 00:00     1.4997418687E+08 197.069513  18.375113
 2014-Dec-03 00:00     1.4954867515E+08 197.639341  19.185871
 2014-Dec-04 00:00     1.4912248841E+08 198.218086  19.999436
 2014-Dec-05 00:00     1.4869574796E+08 198.806192  20.815722
 2014-Dec-06 00:00     1.4826857733E+08 199.404120  21.634633
 2014-Dec-07 00:00     1.4784110242E+08 200.012355  22.456065
 2014-Dec-08 00:00     1.4741345140E+08 200.631405  23.279904
 2014-Dec-09 00:00     1.4698575474E+08 201.261802  24.106026
 2014-Dec-10 00:00     1.4655814527E+08 201.904106  24.934296
 2014-Dec-11 00:00     1.4613075809E+08 202.558904  25.764567
 2014-Dec-12 00:00     1.4570373062E+08 203.226812  26.596679
 2014-Dec-13 00:00     1.4527720260E+08 203.908478  27.430459
 2014-Dec-14 00:00     1.4485131604E+08 204.604583  28.265719
 2014-Dec-15 00:00     1.4442621523E+08 205.315844  29.102256
 2014-Dec-16 00:00     1.4400204673E+08 206.043013  29.939849
 2014-Dec-17 00:00     1.4357895934E+08 206.786883  30.778261
 2014-Dec-18 00:00     1.4315710406E+08 207.548287  31.617233
 2014-Dec-19 00:00     1.4273663409E+08 208.328102  32.456488
 2014-Dec-20 00:00     1.4231770476E+08 209.127251  33.295724
