*******************************************************************************
 2014-Aug-11 00:00     2.9268715270E+08 138.794840 -52.238006
 2014-Aug-12 00:00     2.9300107572E+08 139.188974 -52.067186
 2014-Aug-13 00:00     2.9331124958E+08 139.579260 -51.895430
 2014-Aug-14 00:00     2.9361767393E+08 139.965749 -51.722759
 2014-Aug-15 00:00     2.9392034843E+08 140.348492 -51.549193
 2014-Aug-16 00:00     2.9421927278E+08 140.727540 -51.374752
 2014-Aug-17 00:00     2.9451444671E+08 141.102940 -51.199454
 2014-Aug-18 00:00     2.9480586999E+08 141.474744 -51.023318
 2014-Aug-19 00:00     2.9509354237E+08 141.842999 -50.846363
 2014-Aug-20 00:00     2.9537746368E+08 142.207755 -50.668604
 2014-Aug-21 00:00     2.9565763374E+08 142.569060 -50.490059
 2014-Aug-22 00:00     2.9593405240E+08 142.926961 -50.310745
 2014-Aug-23 00:00     2.9620671953E+08 143.281507 -50.130678
 2014-Aug-24 00:00     2.9647563504E+08 143.632743 -49.949873
 2014-Aug-25 00:00     2.9674079882E+08 143.980717 -49.768345
 2014-Aug-26 00:00     2.9700221083E+08 144.325474 -49.586109
 2014-Aug-27 00:00     2.9725987099E+08 144.667060 -49.403179
 2014-Aug-28 00:00     2.9751377929E+08 145.005520 -49.219570
 2014-Aug-29 00:00     2.9776393571E+08 145.340899 -49.035293
 2014-Aug-30 00:00     2.9801034025E+08 145.673240 -48.850363
 2014-Aug-31 00:00     2.9825299291E+08 146.002588 -48.664792
 2014-Sep-01 00:00     2.9849189373E+08 146.328985 -48.478593
 2014-Sep-02 00:00     2.9872704275E+08 146.652475 -48.291776
 2014-Sep-03 00:00     2.9895844002E+08 146.973098 -48.104355
 2014-Sep-04 00:00     2.9918608561E+08 147.290898 -47.916339
 2014-Sep-05 00:00     2.9940997959E+08 147.605914 -47.727740
 2014-Sep-06 00:00     2.9963012204E+08 147.918188 -47.538568
 2014-Sep-07 00:00     2.9984651306E+08 148.227760 -47.348834
 2014-Sep-08 00:00     3.0005915276E+08 148.534669 -47.158546
 2014-Sep-09 00:00     3.0026804124E+08 148.838954 -46.967716
 2014-Sep-10 00:00     3.0047317863E+08 149.140654 -46.776351
 2014-Sep-11 00:00     3.0067456504E+08 149.439808 -46.584461
 2014-Sep-12 00:00     3.0087220062E+08 149.736451 -46.392055
 2014-Sep-13 00:00     3.0106608550E+08 150.030623 -46.199141
 2014-Sep-14 00:00     3.0125621982E+08 150.322359 -46.005726
